10299	6072|67201|2579|10299|8547|9401|9634|9770|10127|106170
73017	10127|9401|9779|20039|6072|9634|9027|8832|73017|117954
90322	105893|114746|90322|18578|105697|105823|106042|105842|12043|106019
105678	80663|105678|105748|8832|9027|79451|6434|9514|105781|9740
9779	37497|2580|9779|37497|79451|9778|9027|9740|105748|20039
9778	67201|106010|9778|105748|9779|9740|79451|9027|8832|37497
105823	12043|2465|114746|105873|4237|105767|18589|2575|18578|2572|65828|67201|115645|2574|106042|32170|106034|67221|106095|105720
105671	105873|2572|105671|4231|8547|7241|6434|9051|106155|67221
8547	20039|9027|11032|105879|9514|67201|114746|9401|2572|106085
9770	92144|80663|20039|14725|6072|36089|9770|8832|105678|105748
9772	92144|9772|8547|6434|8832|14725|4231|20039|10127|9027
105742	79451|105844|105742|8832|6434|8547|79451|105745|105873|4231
105745	51160|2579|2575|9401|2580|67221|105745|8547|6434|4231
105748	105748|9027|8832|105678|9514|79451|9740|105781|9778|6434
106078	106078|79451|9027|8832|6434|9051|8547|37497|19657|4231
106170	8547|106170|8547|20039|10127|4231|6434|9401|9634|14725
67201	2574|8547|8832|4231|7241|117954|32170|9027|105873|67221|2465|105932|11032|105767|20039|2575|105903|106034|9401|106155|105720|105893|105697|9051
115645	51160|2465|90322|105823|105671|4237|105767|2576|2575|12043
92144	20039|92144|8547|6434|9027|8832|9051|105745|14725|4231
2465	105932|2575|4237|11032|114746|6434|105879|2465|11032|4237
2461	65828|114746|4237|2572|2574|2461|55035|4237|2576|65828
118051	105715|17952|106155|105893|118051|13286|36089|51160|10127|6072
4237	105873|114746|65828|2575|17104|2465|106042|2572|105823|8547|115645|2461|117496|55035|2579|2576|2574|81517|6072|18578|67221|105893|19886|12043|105842|105697
4231	36089|105873|118051|2579|67221|19657|32170|90322|67201|51160|80125|79451|7241|117954|80663|20039|14725|106042|105715|87247|105879|8832|105884|106010|105720|6072|9401
51160	105767|114746|51160|118051|14725|10127|13286|17952|36089|105697
106067	6072|106067|9401|9027|9770|8547|10127|105748|19993|105678
80125	2580|2572|6072|114746|67201|17104|80125|8547|6434|14725
105932	2465|2579|32170|114746|67221|105873|2572|105720|105932|17104
19657	105873|19657|6434|8832|79451|8547|9027|37497|9051|9514
79451	6072|79451|8832|37497|6434|9514|9027|8547|9051|19657
13286	6072|114746|13286|118051|36089|10127|51160|9401|9634|106170
10127	6072|106143|10127|8547|8832|6434|14725|9401|9514|20039
105844	105988|105844|4231|32170|67221|7241|105671|2579|19906|105903
11032	114746|65828|2575|2572|17104|4237|115645|105767|8832|11032
7241	67201|2579|2575|9401|90322|105671|8547|2465|118051|4231|51160|105932|19657|117954|14725|6072|105715|32170|105903|114746|106034|67221|9027|105873|2572|17104|36089|9051|106019|106155|105720|105697
105767	12043|6072|105873|67201|114746|2572|17104|36089|95458|105767
16862	16862|37497|9778|9740|9779|79451|9051|9027|105748|19657
117954	67201|2579|2575|67221|6072|4231|32170|114746|87247|9401|37497|105873|17104|36089|105720
117496	114746|55035|2465|2461|4237|11032|2572|17104|117496|55035
55035	2461|65828|115645|2465|2576|2575|114746|2572|55035|2461
105781	14725|6072|105781|105748|9027|105678|8832|79451|9514|9740
19446	2465|2575|2572|19886|12043|19446|18589|18578|105842|105823
18589	114746|2572|18589|18578|105697|115645|19446|105823|105720|12043
80663	2572|105678|9770|17104|80663|20039|17952|14725|10127|2579
20039	8547|9027|92144|114746|105879|2572|9514|20039|8547|6434
6934	6072|2580|106012|6934|8832|14725|6434|9514|10127|8547
12841	8547|12841|9027|106143|9051|20039|9401|4231|105690|8547
2579	2575|2572|95458|11032|7241|67221|106145|106005|90322|2465|4237|4231|51160|81517|6072|105988|105903|114746|106034|9027|19906|105879|9051|105720|105842|105697|105767
2576	65828|105873|115645|2465|19886|2576|4237|2574|19886|2465
2574	67201|114746|115645|105767|2574|11032|4237|2465|106005|17104
2575	105697|2572|17104|2579|65828|2580|11032|105767|2574|114746|67221|2465
14725	105885|6072|67201|138170|14725|6434|8832|8547|9514|79451
106042	2580|2572|106042|105720|32170|67221|105903|105697|19906|117954
106040	9027|106040|118051|8547|14725|10127|6434|8832|36089|6072
81517	81517|6072|18578|18589|12043|118051|105697|105720|106145|90322
6072	6072|8547|6434|14725|8832|4231|36089|10127|9401|105671
105715	118051|105715|2579|20039|105745|6434|4231|9027|37497|14725
18578	11032|18578|2575|105823|2572|114746|105697|18589|105842|90322
32170	105873|2575|6072|114746|17104|105671|8547|67201|4237|4231|7241|117954|2579|2574|67221|2572|8832|105720|105893|105697
105988	6072|105988|9740|9778|9779|9051|9027|105748|37497|16862
105984	105984|36089|51160|14725|8547|20039|6434|106170|9772|6072
105903	67201|4231|11032|7241|2579|106034|2580|105903|105720|32170
114746	2572|2574|65828|2575|2465|105767|4237|8547|67201|11032|18589|6072|17104|36089|105671|118051|4231|51160|105932|13286|7241|18578|106155|2580
105904	105904|8832|14725|6434|9514|105873|8547|79451|6934|105678
87247	6072|105767|87247|9770|10127|9401|8547|8832|105748|9514
105940	6072|105940|67221|105884|105720|4231|9634|32170|9401|117954
